,PID,SalePrice,MSSubClass,MSZoning,LotArea,LotShape,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenQual,Functional,Fireplaces,GarageFinish,GarageCars,PavedDrive,MoSold,SaleCondition,LogSalePrice,ClassPr_S,Latitude,Longitude,LF_median,DistanceFromCenter,total_baths,TotalPorchSF,TotalFinSF
0,909176150,126000,1-STORY 1945 & OLDER,RL,7890,3,SWISU,Norm,Norm,1Story,6,6,1939,1950,Gable,Wd Sdng,0.0,3,3,3,3,1,2,618.0,856.0,3,1,SBrkr,0,2,3,7,1,1,2,2,3,1,11.744037185933616,RESIDENTIAL,42.0177987,-93.6514413,68.0,2.619225247239467,2.0,166,1094.0
1,905476230,139500,1-STORY PUD 1946 & NEWER,RL,4235,3,Edwards,Norm,Norm,1Story,5,5,1984,1984,Gable,HdBoard,149.0,4,3,3,4,2,5,104.0,1049.0,3,1,SBrkr,0,2,4,7,0,3,1,2,2,1,11.845819880243557,RESIDENTIAL,42.0246851,-93.6641939,42.0,3.307968573523034,3.0,105,1994.0
2,911128020,124900,1-STORY 1945 & OLDER,C (all),6060,3,IDOTRR,Norm,Norm,1Story,5,9,1930,2007,Hip,MetalSd,0.0,4,3,4,3,1,4,100.0,837.0,5,1,SBrkr,0,2,4,7,0,1,1,0,11,1,11.73526869611367,RESIDENTIAL,42.021555,-93.613886,60.0,1.378234647154528,1.0,282,1738.0
3,535377150,114000,2-STORY 1945 & OLDER,RL,8146,3,OldTown,Norm,Norm,2Story,4,8,1900,2003,Gable,MetalSd,0.0,4,4,4,2,1,1,405.0,405.0,4,1,SBrkr,0,2,3,7,0,1,1,0,5,1,11.643953727376632,RESIDENTIAL,42.037328,-93.612241,80.0,1.2795766347813495,1.0,279,1039.0
4,534177230,227000,2-STORY 1946 & NEWER,RL,8400,3,NWAmes,Norm,Norm,2Story,8,6,2001,2001,Gable,VinylSd,0.0,4,3,5,4,1,5,167.0,810.0,5,1,SBrkr,0,3,4,7,0,3,2,2,11,1,12.33270529646354,RESIDENTIAL,42.044693,-93.631899,70.0,1.6465484812450908,3.5,45,2308.0
5,908128060,198500,SPLIT FOYER,RL,7301,3,Edwards,Norm,Norm,SFoyer,7,5,2003,2003,Gable,HdBoard,500.0,4,3,2,0,0,0,0.0,0.0,5,1,SBrkr,0,4,4,7,1,2,2,2,7,1,12.198544379109382,RESIDENTIAL,42.018988,-93.672234,64.0,4.116749067550432,3.0,177,1922.0
6,902135020,93000,1-STORY 1946 & NEWER ALL STYLES,RM,6000,3,OldTown,Norm,Norm,1Story,4,4,1953,1953,Gable,MetalSd,0.0,2,3,3,2,1,1,936.0,936.0,3,0,SBrkr,0,2,3,5,0,1,2,2,2,1,11.440354772135391,RESIDENTIAL,42.0310603,-93.6129105,60.0,0.9989366325233212,1.0,144,936.0
7,528228540,187687,1-STORY 1946 & NEWER ALL STYLES,RL,3710,3,Blmngtn,Norm,Norm,1Story,7,5,2007,2008,Gable,WdShing,20.0,4,3,5,4,4,1,1146.0,1146.0,5,1,SBrkr,0,2,4,7,1,3,2,2,3,1,12.142530960719474,RESIDENTIAL,42.063301,-93.642326,53.0,3.886822048014933,2.0,124,1246.0
8,923426010,137500,1-STORY 1946 & NEWER ALL STYLES,RL,12395,3,Mitchel,Norm,Norm,1Story,5,6,1984,1984,Gable,HdBoard,0.0,3,3,3,3,1,4,217.0,864.0,3,1,SBrkr,0,3,3,7,0,1,2,2,4,1,11.831379196088765,RESIDENTIAL,41.986498,-93.603722,74.0,5.230464010413392,1.0,0,1536.0
9,908186050,140000,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,RM,3675,3,Edwards,Norm,Norm,SFoyer,6,5,2005,2005,Gable,VinylSd,76.0,3,3,5,4,4,5,80.0,547.0,5,1,SBrkr,0,2,4,7,0,3,2,2,5,1,11.84939770159144,RESIDENTIAL,42.018973,-93.670587,35.0,3.9886003268177994,2.0,44,1539.0
