,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LogSalePrice,Prop_Addr,ClassPr_S,ClassSc_S,AcreGr,AcreNt_S,NmbrBRs,Latitude,Longitude,LF_median,YmSold
0,909176150,856,126000,1-STORY 1945 & OLDER,RL,7890,1,None,3,Lvl,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,238.0,1,0.0,618.0,856.0,GasA,3,1,SBrkr,856,0,0,1.0,0.0,1,0,2,1,3,4,7,1,4,Detchd,1939.0,1,2.0,399.0,3,3,2,0,0,0,0,166,0,0,None,None,0,3,2010,WD ,Normal,11.744037185933616,436 HAYWARD AVE,RESIDENTIAL,1-STORY 1945 & OLDER,0.0,0.0,2.0,42.0177987,-93.6514413,68.0,2010-3
1,905476230,1049,139500,1-STORY PUD 1946 & NEWER,RL,4235,1,None,3,Lvl,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,4,3,CBlock,4,3,2,5,552.0,4,393.0,104.0,1049.0,GasA,3,1,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,4,5,7,0,0,Attchd,1984.0,3,1.0,266.0,3,3,2,0,105,0,0,0,0,0,None,None,0,2,2009,WD ,Normal,11.845819880243557,3416 WEST ST,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,0.0,0.0,2.0,42.0246851,-93.6641939,42.0,2009-2
2,911128020,1001,124900,1-STORY 1945 & OLDER,C (all),6060,1,None,3,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,4,3,BrkTil,3,3,1,4,737.0,1,0.0,100.0,837.0,GasA,5,1,SBrkr,1001,0,0,0.0,0.0,1,0,2,1,4,5,7,0,0,Detchd,1930.0,1,1.0,216.0,3,1,0,154,0,42,86,0,0,0,None,None,0,11,2007,WD ,Normal,11.73526869611367,320 S 2ND ST,RESIDENTIAL,1-STORY 1945 & OLDER,0.0,0.0,2.0,42.021555,-93.613886,60.0,2007-11
3,535377150,1039,114000,2-STORY 1945 & OLDER,RL,8146,1,None,3,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,BrkTil,2,3,1,1,0.0,1,0.0,405.0,405.0,GasA,4,1,SBrkr,717,322,0,0.0,0.0,1,0,2,1,3,6,7,0,0,Detchd,1940.0,1,1.0,281.0,3,3,0,0,0,168,0,111,0,0,None,None,0,5,2009,WD ,Normal,11.643953727376633,1524 DOUGLAS AVE,RESIDENTIAL,2-STORY 1945 & OLDER,0.0,0.0,2.0,42.037328,-93.612241,80.0,2009-5
4,534177230,1665,227000,2-STORY 1946 & NEWER,RL,8400,1,None,3,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,5,643.0,1,0.0,167.0,810.0,GasA,5,1,SBrkr,810,855,0,1.0,0.0,2,1,3,1,4,6,7,0,0,Attchd,2001.0,3,2.0,528.0,3,3,2,0,45,0,0,0,0,0,None,None,0,11,2009,WD ,Normal,12.332705296463539,2304 FILLMORE AVE,RESIDENTIAL,2-STORY 1946 & NEWER,0.0,0.0,3.0,42.044693,-93.631899,70.0,2009-11
5,908128060,1922,198500,SPLIT FOYER,RL,7301,1,None,3,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,4,3,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,5,1,SBrkr,495,1427,0,0.0,0.0,3,0,4,1,4,7,7,1,5,BuiltIn,2003.0,2,2.0,672.0,3,3,2,0,0,177,0,0,0,0,None,None,0,7,2009,ConLD,Normal,12.198544379109382,4003 MARIGOLD DR,RESIDENTIAL,SPLIT FOYER,0.0,0.0,4.0,42.018988,-93.672234,64.0,2009-7
6,902135020,936,93000,1-STORY 1946 & NEWER ALL STYLES,RM,6000,1,Pave,3,Bnk,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,2,3,1,1,0.0,1,0.0,936.0,936.0,GasA,3,0,SBrkr,936,0,0,0.0,0.0,1,0,2,1,3,4,5,0,0,Detchd,1974.0,1,2.0,576.0,3,3,2,0,32,112,0,0,0,0,None,None,0,2,2009,WD ,Normal,11.440354772135393,212 10TH ST 210,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,2.0,42.0310603,-93.6129105,60.0,2009-2
7,528228540,1246,187687,1-STORY 1946 & NEWER ALL STYLES,RL,3710,1,None,3,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,4,3,PConc,4,3,4,1,0.0,1,0.0,1146.0,1146.0,GasA,5,1,SBrkr,1246,0,0,0.0,0.0,2,0,2,1,4,5,7,1,4,Attchd,2007.0,3,2.0,428.0,3,3,2,100,24,0,0,0,0,0,None,None,0,3,2008,New,Partial,12.142530960719474,2431 LAKESIDE DR,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,0.0,0.0,2.0,42.063301,-93.642326,53.0,2008-3
8,923426010,889,137500,1-STORY 1946 & NEWER ALL STYLES,RL,12395,1,None,3,Lvl,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,1,4,647.0,1,0.0,217.0,864.0,GasA,3,1,SBrkr,889,0,0,0.0,0.0,1,0,3,1,3,6,7,0,0,Attchd,1984.0,1,2.0,484.0,3,3,2,0,0,0,0,0,0,0,None,None,0,4,2008,WD ,Normal,11.831379196088763,602 KEN MARIL RD,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,3.0,41.986498,-93.603722,74.0,2008-4
9,908186050,1072,140000,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,RM,3675,1,None,3,Lvl,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,3,3,PConc,4,3,4,5,467.0,1,0.0,80.0,547.0,GasA,5,1,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,4,5,7,0,0,Basment,2005.0,3,2.0,525.0,3,3,2,0,44,0,0,0,0,0,None,None,0,5,2007,WD ,Normal,11.84939770159144,3901 MARIGOLD DR,RESIDENTIAL,MULTILEVEL TWNHM  - INCL SPLIT LEV/FOYER,0.0,0.0,2.0,42.018973,-93.670587,35.0,2007-5
