,MSZoning,Neighborhood,Condition1,Condition2,HouseStyle,RoofStyle,Exterior1st,Electrical,ClassPr_S,LotArea,LotShape,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,LowQualFinSF,BedroomAbvGr,KitchenQual,Functional,Fireplaces,GarageFinish,GarageCars,PavedDrive,MoSold,SaleCondition,Latitude,Longitude,LF_median,DistanceFromCenter,total_baths,TotalPorchSF,TotalFinSF,MSSubClass
MSSubClass,137.48875903708085,966.9029707078516,62.44141159094556,0.0,401.755342557649,165.5096179971703,103.98870590097226,29.541987524704275,0.0,773.6615410844624,32.263593064676655,370.74565893420913,584.118773893626,636.0324047552958,220.6502913705972,94.89475410668501,1343.4657802405081,12.510847011931318,271.23879734201904,106.5975044598606,338.84496189857305,174.3368578452487,516.8566905573807,286.61870098770237,306.02230402855344,6.175504782412645,4.148991627146771,36.324770355507894,963.7915176477622,14.498522374065487,499.67627870352953,320.27404294662625,69.80733242724091,17.643180399127374,49.494076400602694,141.36130127301544,349.50687880146006,110.83543801578662,123.49074669684683,31.62848099401026,182.36294295608377,128.22916706199817,248.24550849357547,0.0
MSZoning,0.0,1026.8200568632956,136.9446939903694,0.0,154.33122765985058,104.24586440775639,92.85974680640413,27.604393322450463,0.0,539.2166593006659,27.41067745169279,674.4896854995859,283.1566655648103,637.6350276504918,107.3843311156138,105.45375812296857,1253.6301360611442,4.408618330238681,140.7703458038483,89.19492961082744,385.61846940793794,184.60367785364883,288.6856054205191,250.23823586169783,738.4089894810467,159.0539664100728,5.6867418598369,2.1714554069686756,731.3818121896429,40.882700442409714,233.31110107492168,95.57916506140299,7.280166176799412,82.10419851670972,138.6030426214354,74.72274334733038,582.7816995586365,127.04419867120578,204.13591123409446,363.170558359619,222.2529380018309,391.62008950383506,235.5436956498561,372.20166715612913
Neighborhood,709.0898799818635,0.0,214.40179007992265,0.0,155.27346461160687,64.61809163900645,176.8673720534431,11.252072250005057,0.0,27.576355957952728,79.09722861840899,14.149006724805076,573.8065648094516,1901.0579868925179,103.11258161061915,116.92889062377185,1529.1227951754936,25.05350707064838,46.70680454111289,328.8890550809739,154.45103905337896,113.60646443853705,261.06916525065844,117.08060308031259,251.49658714909674,51.59903367409754,5.389986041822276,24.566489017233607,99.7857586744035,84.38239667322466,374.43904328502595,39.850972530849674,512.1201124665445,24.444565428248424,107.51308563319117,36.703418929220334,539.4843663314005,1367.8280340289532,66.47043577953059,545.6403547019027,294.186506854845,202.56502707202003,636.5923190741014,196.2147606862011
Condition1,305.5372217770755,542.0688696027664,0.0,19.95963167688447,36.636592420487545,116.1757094872182,328.99521141122034,7.838599514803931,0.0,2.314049338003315,63.72500659932,97.09380906579645,124.90146193407418,410.9777757818465,242.39629730652132,40.26346113803038,836.6710486552923,141.49158663051327,111.14628389634677,21.350361392542595,0.41550066631612026,191.44594616234576,94.49156013647007,99.80068657111133,239.64974944445635,20.469879407356075,4.247665291386916,43.19615907601474,491.410038049733,121.74852666472907,331.94434197329656,84.64528396379274,152.30491181616117,25.938663498275062,61.90393084291452,60.84135173108734,495.1880875763504,526.6239243759492,334.6119202331796,41.691643939123196,78.35529958973416,87.3535431775606,369.7033020809213,47.227866851105546
Condition2,11.684898364106516,527.3003771004105,111.4874853466697,0.0,46.84925173153414,67.37468637358742,99.42843467206353,27.818510968899332,0.0,182.23381263021656,169.03022415580145,301.23525048243573,201.9139591915996,321.270230797968,275.35413558653045,221.22785808411322,741.4628739117996,17.362812417857924,149.53345982313587,23.592714598185125,18.250591370139773,39.16952848838423,15.108547846222791,124.99267144442047,256.63848262286047,101.50686256419067,10.35524978220829,18.362594172254603,527.6010934022588,2.2729712586478854,5.07487677961808,87.56971787722915,320.81156088034686,2.9838659759186896,163.07350009908873,75.3356566483285,500.4578667032092,175.16582354207708,119.30584082891573,102.54770077904573,192.60530901925017,112.3641469278291,87.20001663118819,9.58191931827082
HouseStyle,197.51051327991763,728.6530562236694,76.97096956797236,5.690289976355719,0.0,100.55616045128832,219.93460082202648,6.5133858687973,0.0,44.92225907927741,120.19830736691216,265.6620128951254,207.2696385277318,378.0655906624497,410.6303323032744,162.44049888658014,868.3917294562256,11.055731987071013,36.86058988094591,124.9534874912789,149.94538028119632,42.402727406151826,50.021544874352,116.08673492137427,270.5970297502379,66.07678846220051,10.7643871828189,210.23751478624604,571.8866001298693,60.940131999980395,129.70666816694848,11.564065056348966,376.97689614428964,64.43409227573201,155.82668405352013,106.11957583158267,404.62015849622185,401.05654749926134,244.03796254519625,48.88194658895668,22.195124924522815,247.41061676446157,245.4390211577811,70.01896413774534
RoofStyle,164.92104947312532,494.831834236551,127.63292166931251,0.0,30.890887486845998,0.0,182.3836003552616,29.896252981908916,0.0,175.5722676891296,73.4570446148526,287.05597340467466,265.14964883197035,223.82273847934448,164.41744151384046,192.25816663981664,786.46891186036,1.8341015273430799,105.11864939772292,43.71800331204372,232.71550900131433,41.9081160647238,149.0424007992715,132.24170403423523,246.21358149982188,161.90540715277166,13.806827341807903,161.5421243540044,599.2904713755311,0.7447758586083637,20.7090135910571,85.90841882637449,385.71968118160976,8.952078390121954,196.85574370710071,40.433510081585496,560.7108862501918,220.33935404263298,222.5276235752409,20.050075769871,165.0502814405345,215.0620226803503,55.88570449417966,87.9475323660447
Exterior1st,10.804931780515062,618.350923973966,15.391840038831333,0.0,38.2142545798589,67.05058391836533,0.0,3.999840064861715,0.0,273.60743682964676,40.60154829123363,135.55613686494507,227.39627885312484,238.32900116889869,393.41711802290047,16.671542742269594,957.02646234531,126.98550105132206,136.4936388319656,4.110319038744024,41.790160809993495,102.71631672157605,105.96762552548807,239.6962061207355,105.68095703653466,38.78347715486143,16.093197829522126,2.015284104828652,770.0452860490823,81.17887676530154,232.01013052074404,128.68719179459333,371.74389628988865,18.309840339897136,206.73729906827134,85.04122671286041,582.6949045315109,357.2046409546938,282.95411213180114,61.8601792482134,192.51947238629418,177.3158514996162,257.31781074739047,341.6260392080435
Electrical,135.60888760954526,297.6041936456659,102.18125335968352,4.615448448901862,72.05385102836533,144.73737538481114,137.64029100619462,0.0,0.0,29.84721053393787,82.96227734609968,101.1643497804489,252.57302039368687,706.4396627167716,82.53568542956236,112.4227215910937,858.4978254812551,76.39259379895982,144.04671198401957,18.935780642017903,88.55903432484274,30.677246054506213,8.127871731391679,40.40142228165587,225.3780571113782,43.102606903436254,1.7238748112225935,125.36942681438063,609.0072250315384,29.25674783579052,127.83783455181492,3.08750853800899,219.81954430682026,51.438518163052635,156.2248633578223,53.50697281622115,576.0708787120398,148.9641018296088,206.03459179189906,219.293143735066,33.28516721990377,177.46330206214247,148.89256344897876,193.85409118672214
ClassPr_S,203.04237057225032,504.9139145852705,102.29477114790029,0.0,125.57469166485043,124.87787833509648,152.8267579385148,22.789507268321266,0.0,17.418009079263356,77.26313283332863,35.847696913564505,332.4646439097073,473.1870802004305,124.13203084543011,19.786772029621034,852.4858712129868,92.24191639520659,123.95545881299097,38.84168466200265,47.02352884264019,25.517842848895725,116.59444080390767,81.05742648126193,249.56386792072658,73.46386402825738,1.0213294172633596,93.21363098470852,660.5957525306571,14.963018768651978,121.9451389764431,22.889765905958825,257.61183801218385,35.87697530061942,147.48197973678305,26.37071663668746,840.8440435223335,299.2553808382795,240.51894559035065,96.01571168412534,6.543374793162911,120.37465676121633,118.82236787348302,169.56241088771776
